id,feature,weight,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
a36,dust,1,1,2,3,4,5/23,7,8,9,10,6,12,13,14,15,5/23,16,17,18/24,19/25,11,19/26/27,20,21,22
a37,ear,1,1,2,2,2,3,4,5,2,2,10,9,2,1,6,3,5,2,2,10,10,10,9,7,8
a38,earth2,1,1,2,3,1,1,1,1,11,11,4,5,6,1,7,1,8,11,11,4,4,4,9,6,10
a39,eat,1,1,1,1,2,3,1,4,1,5,1,6,1,1,7,3,8,1/5,1,1/11,1,1,9,1,10
a40,egg,1,1,2,3,4,5,6,7,3,8,3,9,3,10,11,12,13,14,15,16,3,3,3,17,18
a41,eye,1,1,2,2,3,2,2,4,2,2,9,8,2,1,1,2,4,2,2,9,9,9,5,6,7
a42,fall,1,1,6,2,7,3,4,2,4,8,5,9,10,11,12,3,13,14,15,16,5,5,17,18,19/20
a43,far,1,1,2,14/18,3,4,17,17,5,6,15,7,16,8,9,4,17,10,6,15,15/19,15,11,12,13
a44,fat,1,1,2,3,4,5,6,6,7,7,8,9,10,11,12,5,13,7,7,14,8,15,16,17,10
a45,father,1,1,2,2,1,2,2,2,1,3,2,2,2,4,4,2,2,3,3,1,2,2,5,2,2
a46,fear,1,1,2,2/19,3/20,4,5,5,16,17,6,21,7,8,9,4,10,17,18,6/21,11,6,12,13,14
a47,feather,1,1,2,19,4,20,21,21,3,5,6,7,18,8,9,10,11,12,13,14,6,6,15,16,17
a48,few,1,1,2,3,4,5,6,7,8,9,10,11,19,12,13,14,7,15,9,10,10,10/20,16,17,18
a49,fight,1,1,2/22,3,4,5,6,6/7,7/8,9/23,10/11,10,12,13,14,15,16,17,18,10,8/10,11,19,20,21
a50,fire,1,1,1,1,2,1,3,4,3,3,1,5/9,3,1,6,1,4,1,3,1,7,1,5,8,1
a51,fish,1,1,2,2,3,4,5,5,6,2,7,15,16,8,9,10,11,2,2,7,7,7,12,13,14
a52,five,1,1,2,2,2,2,2,2,2,2,6,2,2,3,4,2,5,2,2,6,6,6,2,2,2
a53,float,1,1,2,2,2,2,2,3,2,4/5,5,6,7,8,9,10,11,12,5,13,5,5/14,15,16,6
a54,flow,1,1,2,3,4,5,3/6,6/7,8,8,9,10,11,1,12,13,14,15,8/16,17,16/17,16/17,18,19,20
a55,flower,1,1,2,3,4,5,6,7,8,9,10,11/12,13,14,15,5,16,17,18/19,20,10/20,20,11,13,21
a56,fly,1,1,2,1,3,4,1,1/4,5,6,7,4,8,9,10,4,11,12,13,14,7,7,1,15,16
a57,fog,1,1,2,3,4,5,6,7,3,3,8,9,10,11,12,13,14,15,3,16,17,10,10,18,19
a58,foot,1,1,1,1,2,1,1,1,3,4,1,5,1,1,1,1,1,3,4,1,1,1,5,1,1
a59,four,1,1,2,2,2,2,2,2,2,2,5,2,2,1,3,2,4,2,2,5,5,5,2,2,2
a60,freeze,1,1,2/21,3,4,5,6,7,8,9/22,10,11,12,13,14,15,16,17,9,10,10,10,10,18/19,20
a61,fruit,1,1,2,3/24,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,10,21,22,23
a62,full,1,1,2,3,4,5,6,6,6,6,6,6,11,7,8,5,9,6,6,6,6,6,6,10,11
a63,give,1,6,2,7,3,1,7,7,8,8,4,5,7,6,6,1,7,8,8,4,4,4,9,7,7
a64,good,1,1,2,3,4,5,6,6,7,8,9,10,11,6,12,5,6/17,13,13,9,9,9,14,15,16
a65,grass,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,5,15,16,9,17,10,10,1,18,19
a66,green,1,1,2,3,4,5,3,6,3,17,7,8,9,1,10,11,12,17,17,13,7,7,14,15,16
a67,guts,1,1,2/20,2,3,4,2,5,6,7,8/21,9,2,10,11,12,13,14,15,16,8/15,8,17,18,19
a68,hair,1,1,2,3,4,5,6,7,7,8,9,20,10,11,12,13,14,15,16,17/21,9/17,9/22,18/23,19,20
a69,hand,1,1,1,1,1,1,6,6,2,2,3,4,5,1,1,1,6,2,2,3,3,3,4,5,5
a70,he,1,1,2,3,4,4,4,4,1/5,1,6,1,1,1/7,1/7,4,4,4/5,8,1,6,1,4,1,1
a71,head,1,1,2,3,4,5,6,6,7,7,8,9,10,11,12,13,14,7,7,8,8,8,9,15,16
a72,hear,1,1,2,3,4,11,2,2,12,5,3,2,6,1,7,11,8,5,5,3,3,3,2,9,10
a73,heart,1,1,1,1,2,3,9,9,1,1,10,1,1,1,4,3,5,1,1,10,10,10,6,7,8
a74,heavy,1,1/2,3,4,5,6,4,4,7,8,1/9,10,4,1/11,12,6,13,14,15,4,9/16,1/9,7,17,18
a75,here,1,1,1,3,6,6,7,7,1,6,1,6,4,1,2,6,7,6,6,1,1,1,8,9,10
a76,hit,1,1,2,3,4,5,6,6,7,8/9,11/18,10/19,20,12,12,5,6,13,14,11/21/22,11/20/23/24,11,15,16,17
a77,hold,1,1,2,3,4,6,8,8,10,13,15,9,18,11,12,17,8,13,14,16,15,16,7,5,18
